date,timestamp,EUR,AED,AFN,ALL,AMD,ANG,AOA,ARS,AUD,AWG,AZN,BAM,BBD,BDT,BGN,BHD,BIF,BMD,BND,BOB,BRL,BSD,BTN,BWP,BYN,BZD,CAD,CDF,CHF,CLP,CNY,COP,CRC,CUP,CVE,CZK,DJF,DKK,DOP,DZD,EGP,ERN,ETB,FJD,FKP,FOK,GBP,GEL,GGP,GHS,GIP,GMD,GNF,GTQ,GYD,HKD,HNL,HRK,HTG,HUF,IDR,ILS,IMP,INR,IQD,IRR,ISK,JEP,JMD,JOD,JPY,KES,KGS,KHR,KID,KMF,KRW,KWD,KYD,KZT,LAK,LBP,LKR,LRD,LSL,LYD,MAD,MDL,MGA,MKD,MMK,MNT,MOP,MRU,MUR,MVR,MWK,MXN,MYR,MZN,NAD,NGN,NIO,NOK,NPR,NZD,OMR,PAB,PEN,PGK,PHP,PKR,PLN,PYG,QAR,RON,RSD,RUB,RWF,SAR,SBD,SCR,SDG,SEK,SGD,SHP,SLE,SLL,SOS,SRD,SSP,STN,SYP,SZL,THB,TJS,TMT,TND,TOP,TRY,TTD,TVD,TWD,TZS,UAH,UGX,USD,UYU,UZS,VES,VND,VUV,WST,XAF,XCD,XCG,XDR,XOF,XPF,YER,ZAR,ZMW,ZWL
2025-04-26 00:00:02,1745625602,1,4.173,80.7574,98.7259,443.4638,2.0339,1059.1864,1334.1793,1.7777,2.0339,1.9306,1.9558,2.2725,138.0,1.9558,0.4272,3338.7322,1.1363,1.4934,7.8644,6.4545,1.1363,97.0154,15.7194,3.4966,2.2725,1.5751,3279.0755,0.9415,1060.0636,8.2809,4896.5363,572.2278,27.2706,110.265,24.9433,201.9398,7.4602,67.4341,150.2477,57.8758,17.0441,148.9022,2.569,0.8534,7.4602,0.8534,3.1204,0.8534,16.813,0.8534,82.4975,9854.9622,8.7411,237.2573,8.8142,29.4214,7.5345,148.1594,406.3089,19149.9252,4.1133,0.8534,97.0155,1485.3932,47958.2838,144.9038,0.8534,180.5725,0.8056,163.0869,146.7947,98.4428,4514.0519,1.7774,491.9678,1634.6652,0.3485,0.9469,585.8375,24780.1717,101696.5586,340.3182,226.9863,21.2908,6.1949,10.5318,19.5651,4998.5925,61.5901,3969.9352,4084.8134,9.0774,45.1054,51.2139,17.543,1981.4982,22.2185,4.9684,72.5213,21.2908,1828.8847,41.7658,11.8507,155.2247,1.9057,0.4369,1.1363,4.1733,4.6353,63.9262,319.9553,4.2715,9134.2604,4.136,4.9776,117.247,94.1508,1643.1807,4.261,9.5829,16.301,506.6793,11.0028,1.4934,0.8534,25.7757,25775.703,648.4739,41.6116,5166.1509,24.5,14569.8425,21.2908,38.0694,12.2207,3.974,3.4028,2.6971,43.6689,8.4069,1.7774,36.9763,3047.7769,47.4425,4157.5532,1.1363,47.7106,14686.9521,97.8439,29588.6866,137.3599,3.1583,655.957,3.0679,2.0339,0.8385,655.957,119.332,278.2058,21.2909,31.853,30.3889
2025-04-27 00:00:01,1745712001,1,4.1725,80.7634,98.7261,443.4172,2.0337,1058.7538,1334.0168,1.7775,2.0337,1.9305,1.9558,2.2723,137.9925,1.9558,0.4272,3338.3156,1.1361,1.4933,7.8644,6.4546,1.1361,97.0224,15.7044,3.4994,2.2723,1.5752,3279.0755,0.9414,1061.2027,8.2824,4896.5566,572.2388,27.2673,110.265,24.944,201.9152,7.4603,67.4372,150.2511,57.8699,17.042,148.894,2.5689,0.8534,7.4603,0.8534,3.1203,0.8534,16.8365,0.8534,82.4942,9858.2953,8.7413,237.2573,8.8128,29.422,7.5345,148.1594,406.2587,19148.0784,4.1136,0.8534,97.0225,1485.3932,48002.2529,144.9044,0.8534,180.4201,0.8055,163.0332,146.7927,98.4455,4514.0519,1.7775,491.9678,1634.6017,0.3481,0.9468,585.7717,24779.2275,101684.1735,340.3401,226.9914,21.3002,6.1949,10.5325,19.5569,4987.5577,61.6384,3429.8843,4081.7848,9.0757,45.1054,51.1661,17.5432,1980.7189,22.2168,4.969,72.5185,21.3002,1828.8743,41.7666,11.8512,155.2359,1.9058,0.4368,1.1361,4.1759,4.6356,63.9377,319.8709,4.2717,9134.0072,4.1355,4.9775,117.2476,94.1101,1642.1964,4.2605,9.5853,16.3163,506.6793,11.0039,1.4933,0.8534,25.7726,25772.5641,648.4739,41.6116,5166.1509,24.5,14571.5912,21.3002,38.0765,12.2207,3.9763,3.4022,2.6971,43.6697,8.3669,1.7775,36.968,3047.2893,47.4477,4157.3717,1.1361,47.7137,14681.6558,97.8439,29619.9666,137.3602,3.1586,655.957,3.0676,2.0337,0.8382,655.957,119.332,278.213,21.2823,31.8596,30.3889
2025-04-28 00:00:01,1745798401,1,4.1721,80.8356,98.8125,443.7979,2.0335,1048.1007,1333.8906,1.7781,2.0335,1.9306,1.9558,2.2721,137.9169,1.9558,0.4271,3373.8305,1.136,1.4935,7.8634,6.4555,1.136,96.9575,15.6712,3.6493,2.2721,1.5743,3286.7358,0.9407,1062.49,8.2817,4800.156,574.3667,27.2647,110.265,24.9652,201.8961,7.4619,67.2806,150.3794,57.8513,17.0404,151.0843,2.5661,0.8536,7.4619,0.8535,3.1218,0.8536,16.4854,0.8536,82.6016,9934.9079,8.7481,237.8116,8.8067,29.4506,7.5345,148.6957,406.2592,19119.916,4.1166,0.8536,96.9576,1488.8632,49214.4668,145.1485,0.8536,180.1333,0.8054,163.1888,146.8727,99.0355,4524.5974,1.778,491.9678,1634.1725,0.3482,0.9467,583.74,24726.2268,101674.5488,340.16,227.2261,21.2529,6.2193,10.525,19.5398,5061.6248,61.6384,3226.7305,4079.4157,9.0721,45.199,51.3811,17.5492,1971.2573,22.1951,4.9662,72.3342,21.2529,1827.1746,41.7979,11.8467,155.132,1.9067,0.4368,1.136,4.1823,4.6369,63.8661,319.138,4.2728,9132.4596,4.1351,4.9774,117.2226,93.8338,1619.2846,4.2601,9.7166,16.457,507.863,11.0144,1.4933,0.8536,25.7701,25769.0607,649.9888,41.7088,5166.1509,24.5,14628.8613,21.2529,38.0701,12.2207,3.9763,3.3979,2.6971,43.649,7.8429,1.778,36.9315,3053.1681,47.4543,4151.6415,1.1359,47.6494,14570.6556,97.8439,29544.8046,136.4552,3.1063,655.957,3.0673,2.0335,0.8382,655.957,119.332,278.3637,21.2556,31.7466,30.3889
2025-04-29 00:00:01,1745884801,1,4.1829,80.7987,98.8416,442.7192,2.0388,1055.8426,1324.8198,1.7757,2.0388,1.9308,1.9558,2.2779,138.3933,1.9558,0.4283,3359.1804,1.139,1.4933,7.8599,6.4536,1.139,96.8206,15.6197,3.5303,2.2779,1.5775,3285.7264,0.9387,1061.7892,8.3032,4779.2754,574.4866,27.3354,110.265,24.9612,202.4195,7.4612,67.0914,150.4087,57.6857,17.0846,148.9969,2.5629,0.8503,7.4709,0.8502,3.1208,0.8503,16.5124,0.8503,82.6201,9898.2072,8.7438,237.7386,8.831,29.4326,7.5345,148.65,404.4038,19186.0948,4.1232,0.8503,96.9151,1488.406,48250.2667,145.3711,0.8503,180.6594,0.8075,162.505,146.9554,98.8082,4523.2078,1.7758,491.9678,1638.716,0.3485,0.9491,584.6211,24705.6224,101938.1307,340.7316,227.0265,21.1397,6.2174,10.5386,19.5447,4971.8305,61.6384,3237.6433,4091.4536,9.0933,45.1851,51.4365,17.5471,1979.0368,22.2957,4.9663,72.466,21.1397,1825.192,41.7856,11.8112,154.913,1.9098,0.4379,1.139,4.1773,4.6454,64.1737,320.5002,4.2714,9124.4568,4.1459,4.9775,117.1983,93.998,1633.5207,4.2712,9.6512,16.3236,507.707,10.9641,1.4933,0.8503,25.8404,25836.3366,649.7892,41.696,5174.285,24.5,14628.0476,21.1397,38.1091,12.2181,3.9745,3.3979,2.6837,43.8211,8.1818,1.7758,36.9811,3054.3167,47.3563,4157.1672,1.1391,47.4641,14653.1006,98.5985,29632.0699,136.8452,3.1261,655.957,3.0752,2.0388,0.8379,655.957,119.332,278.3628,21.1329,31.7904,30.5093
2025-04-30 00:00:01,1745971201,1,4.1827,80.7438,98.7929,443.7417,2.0387,1059.8847,1333.2959,1.7805,2.0387,1.9351,1.9558,2.2778,138.3955,1.9558,0.4282,3365.1591,1.1389,1.4903,7.8742,6.4309,1.1389,96.9929,15.6495,3.5371,2.2778,1.5759,3322.4762,0.9387,1074.2286,8.2838,4788.3218,574.9297,27.334,110.265,24.9325,202.4095,7.4628,66.9565,150.7108,57.8644,17.0838,151.2161,2.5641,0.8496,7.4628,0.8496,3.1294,0.8496,16.2898,0.8496,82.8506,9914.6155,8.767,238.9452,8.8351,29.5126,7.5345,149.0218,404.3461,19053.5254,4.1268,0.8496,96.993,1490.8547,48352.786,146.0764,0.8496,180.696,0.8075,162.1722,147.2225,99.1199,4590.2632,1.7806,491.9678,1633.9839,0.3488,0.9491,583.3833,24709.8687,101933.0644,340.9574,227.5078,21.1182,6.2313,10.5529,19.5583,4970.784,61.6393,3237.1095,4079.4897,9.0997,45.2947,51.2692,17.5928,1985.1587,22.2916,4.9276,72.6852,21.1182,1825.7897,41.881,11.8097,155.1886,1.9167,0.4379,1.1389,4.1774,4.6718,63.8678,320.1849,4.2703,9138.069,4.1457,4.9778,117.1949,93.3288,1645.0951,4.2709,9.6482,16.6661,509.2847,10.9692,1.4903,0.8496,25.8357,25834.5746,650.8582,41.7997,5246.456,24.5,14660.7965,21.1182,38.0505,12.2329,3.9845,3.3942,2.6794,43.8626,8.0649,1.7806,36.7988,3064.5308,47.294,4171.0896,1.1389,47.8356,14669.1916,99.0128,29643.8376,137.3651,3.1418,655.957,3.0751,2.0387,0.8391,655.957,119.332,279.0249,21.1161,32.1171,30.5249
2025-05-01 00:00:01,1746057601,1,4.1652,80.6127,98.7959,443.5911,2.0301,1059.5838,1329.2188,1.7739,2.0301,1.9324,1.9558,2.2683,137.8766,1.9558,0.4264,3360.5029,1.1341,1.482,7.8694,6.3811,1.1341,96.1588,15.616,3.5321,2.2683,1.5665,3286.6604,0.9362,1074.8743,8.2511,4768.6814,574.519,27.2195,110.265,24.9277,201.5615,7.4543,66.936,150.5501,57.7097,17.0122,151.0295,2.5734,0.8505,7.4543,0.8505,3.1241,0.8505,16.1756,0.8505,82.6848,9894.8521,8.7543,238.6205,8.8035,29.4988,7.5345,148.6288,404.3229,18871.369,4.1228,0.8505,96.1594,1488.8291,48284.7307,145.9444,0.8505,179.3406,0.8041,162.079,147.073,99.2754,4584.0263,1.7741,491.9678,1619.8986,0.3479,0.9451,583.4569,24699.6026,101506.0449,340.1042,227.3237,21.0827,6.2085,10.5213,19.5193,4970.7514,61.6323,3222.6808,4037.471,9.0678,45.1745,51.1331,17.566,1981.1891,22.2172,4.9033,72.6835,21.0827,1820.5861,41.8292,11.7861,153.8541,1.9151,0.4361,1.1341,4.1684,4.6575,63.445,318.6366,4.2752,9128.0708,4.1283,4.978,117.1946,92.7889,1642.3389,4.253,9.701,16.4892,508.5927,10.9585,1.482,0.8505,25.7735,25772.5108,649.9739,41.7429,5233.4708,24.5,14638.5571,21.0827,37.9014,12.0436,3.9784,3.372,2.6956,43.7125,7.8752,1.7741,36.3748,3052.2874,47.144,4165.6432,1.1341,47.8413,14638.8277,99.4826,29474.6067,136.0602,3.1439,655.957,3.0622,2.0301,0.8377,655.957,119.332,278.3002,21.084,31.7817,30.5084
2025-05-02 00:00:01,1746144001,1,4.1514,80.2542,98.5126,441.563,2.0234,1052.7966,1324.8197,1.7707,2.0234,1.9245,1.9558,2.2608,137.2921,1.9558,0.425,3358.6738,1.1304,1.4815,7.8257,6.4092,1.1304,95.6413,15.5058,3.5306,2.2608,1.5648,3271.7547,0.9369,1072.5254,8.2261,4808.9033,572.2843,27.1294,110.265,24.9365,200.8944,7.4615,66.6173,149.9371,57.5148,16.9559,150.7006,2.561,0.8504,7.4615,0.8504,3.1125,0.8504,16.02,0.8504,82.2999,9861.4565,8.7102,237.3758,8.7689,29.3521,7.5345,147.7657,404.3317,18801.4038,4.1024,0.8504,95.7268,1482.0769,48317.7908,145.7369,0.8504,179.2292,0.8014,163.5707,146.5832,99.0324,4503.974,1.7709,491.9678,1618.6056,0.3473,0.942,582.9004,24675.8294,101170.1036,338.5751,226.3593,21.0041,6.1747,10.5002,19.3501,5005.9717,61.6341,3210.989,4055.9279,9.0314,45.0339,51.0442,17.478,1971.5889,22.161,4.8848,72.1823,21.0041,1814.9687,41.6366,11.7868,153.0261,1.9111,0.4346,1.1304,4.1402,4.6699,63.1729,317.5004,4.2821,9090.8503,4.1146,4.9781,117.227,92.6255,1632.8484,4.239,9.575,16.1449,505.5481,11.004,1.4815,0.8504,25.6882,25688.8578,645.8212,41.5038,5215.1259,24.5,14573.509,21.0041,37.8965,12.0012,3.9683,3.3675,2.6597,43.5455,7.7666,1.7709,36.2675,3041.9941,47.1466,4149.4615,1.1305,47.6298,14572.3224,99.4826,29375.881,136.317,3.0967,655.957,3.0521,2.0234,0.8378,655.957,119.332,276.9961,21.0014,31.7403,30.5084
2025-05-03 00:00:02,1746230402,1,4.1553,80.194,98.5295,441.5269,2.0253,1061.025,1326.0664,1.7573,2.0253,1.9256,1.9558,2.2629,137.5335,1.9558,0.4254,3335.4965,1.1315,1.4694,7.8283,6.4227,1.1315,95.6731,15.4928,3.4469,2.2629,1.5627,3271.7547,0.935,1073.003,8.1986,4812.2316,572.2855,27.1549,110.265,24.9155,201.0835,7.4472,66.552,149.855,57.459,16.9718,150.7166,2.5629,0.8522,7.4472,0.8522,3.1121,0.8522,15.8881,0.8522,82.5753,9865.7422,8.7104,237.3758,8.7699,29.3504,7.5345,147.7657,404.5214,18613.7451,4.0802,0.8522,95.6732,1482.0769,47859.6719,146.1012,0.8522,179.7691,0.8022,163.8508,146.7474,98.9684,4503.974,1.7573,491.9678,1587.3489,0.3473,0.9429,585.0879,24716.5612,101265.3093,339.3508,226.3032,20.8311,6.1747,10.498,19.4523,5006.2269,61.6341,3939.0505,4061.1908,9.0329,45.0339,51.3653,17.4808,1983.4663,22.194,4.836,72.508,20.8311,1819.7818,41.6289,11.7667,153.077,1.9051,0.435,1.1315,4.1407,4.6767,63.0367,317.6898,4.2735,9105.9605,4.1185,4.9783,117.2316,93.406,1646.5896,4.243,9.5263,16.147,505.5481,10.9216,1.4709,0.8522,25.7124,25712.2732,645.8212,41.5038,5234.1081,24.5,14521.2266,20.8311,37.4713,12.021,3.9667,3.3832,2.6557,43.6706,7.8484,1.7573,35.0083,3054.1473,47.2905,4159.511,1.1315,47.5808,14613.8469,100.6992,29407.0478,136.2749,3.1004,655.957,3.0549,2.0253,0.838,655.957,119.332,276.9046,20.8314,31.7783,30.3367
2025-05-04 00:00:01,1746316801,1,4.1558,80.1955,98.5291,441.5192,2.0256,1060.083,1326.2456,1.7582,2.0256,1.9255,1.9558,2.2632,137.5911,1.9558,0.4255,3335.1353,1.1316,1.4695,7.8282,6.4242,1.1316,95.6638,15.4924,3.4502,2.2632,1.563,3271.7547,0.9353,1073.0209,8.2017,4812.1472,572.2855,27.1586,110.265,24.916,201.1107,7.4565,66.5537,149.8571,57.4685,16.9741,150.7403,2.5626,0.852,7.4565,0.8521,3.1119,0.852,15.8907,0.852,82.5595,9867.6615,8.7104,237.3758,8.7742,29.3504,7.5345,147.7657,404.4378,18619.7852,4.0825,0.852,95.664,1482.0769,47904.1104,146.1132,0.852,179.7021,0.8023,163.8469,146.715,98.9671,4503.974,1.7582,491.9678,1590.0242,0.3473,0.943,584.9766,24715.5274,101278.9915,339.2371,226.3046,20.8359,6.1747,10.498,19.4441,5006.2269,61.6543,3404.7918,4059.1654,9.0374,45.0339,51.3347,17.4807,1982.3901,22.1889,4.8406,72.4824,20.8359,1819.7331,41.6291,11.7637,153.0621,1.907,0.4351,1.1316,4.1412,4.6766,63.0413,317.7341,4.2745,9105.577,4.1191,4.9783,117.2321,93.4369,1644.8202,4.2435,9.5282,16.1462,505.5481,10.9233,1.4703,0.852,25.7158,25715.7468,645.8212,41.5038,5234.1081,24.5,14522.5536,20.8359,37.4792,12.021,3.9669,3.3834,2.6557,43.667,7.9227,1.7582,35.1329,3053.7941,47.2892,4158.6792,1.1316,47.582,14609.5293,100.6992,29410.6837,136.2752,3.1002,655.957,3.0553,2.0256,0.8381,655.957,119.332,276.907,20.8362,31.7813,30.3367
2025-05-05 00:00:01,1746403201,1,4.1534,80.5529,98.4912,440.2205,2.0244,1045.5065,1325.455,1.7567,2.0244,1.925,1.9558,2.2619,137.5918,1.9558,0.4252,3357.9264,1.1309,1.4656,7.8329,6.4235,1.1309,95.4601,15.4609,3.6355,2.2619,1.5632,3268.9151,0.9337,1073.6188,8.1787,4809.6185,571.8704,27.1424,110.265,24.9257,200.9908,7.4587,66.7077,150.1053,57.3804,16.964,150.7167,2.555,0.8529,7.4587,0.853,3.104,0.8529,15.7755,0.8529,82.2168,9892.6407,8.7179,236.3608,8.7694,29.4173,7.5345,147.5745,404.3637,18630.4819,4.0855,0.8529,95.6167,1480.7906,48990.2554,146.1112,0.8529,179.4539,0.8018,163.6639,146.4706,98.8499,4500.0649,1.7556,491.9678,1582.3957,0.3473,0.9424,584.887,24686.494,101218.6176,338.4827,226.5414,20.81,6.1673,10.5041,19.4116,3742.1458,61.6543,3217.1253,4038.9025,9.0306,44.989,51.398,17.4936,1962.8788,22.2093,4.829,72.2668,20.81,1821.9541,41.6752,11.7799,152.7362,1.9023,0.4348,1.1309,4.1416,4.6819,62.9487,318.1863,4.2771,9104.4901,4.1166,4.9776,117.2291,93.554,1609.6363,4.241,9.6655,16.2624,505.1093,10.9177,1.4657,0.8529,25.7005,25696.8982,645.2607,41.4579,5234.1081,24.5,14589.8215,20.81,37.5358,12.021,3.9678,3.3839,2.6864,43.7083,7.7209,1.7556,34.6539,3043.321,47.2994,4134.3005,1.1311,47.5146,14491.7593,100.6992,29442.3507,136.533,3.1355,655.957,3.0535,2.0244,0.8381,655.957,119.332,277.1895,20.8127,31.4345,30.3367
2025-05-06 00:00:01,1746489601,1,4.1577,80.4063,98.5124,441.7615,2.0265,1057.0275,1334.2062,1.7495,2.0265,1.9279,1.9558,2.2642,137.6918,1.9558,0.4257,3350.0875,1.1321,1.4609,7.8504,6.4113,1.1321,95.573,15.4742,3.517,2.2642,1.5639,3278.6415,0.9317,1072.9523,8.2016,4826.8507,573.7514,27.1709,110.265,24.9174,201.2019,7.4505,66.7395,150.4756,57.4719,16.9818,151.32,2.5537,0.8515,7.4504,0.8515,3.1145,0.8515,15.6404,0.8515,82.5116,9879.0459,8.7346,237.2259,8.7764,29.4409,7.5345,148.1398,403.5034,18619.1041,4.094,0.8515,95.5732,1485.1966,48197.4889,146.6018,0.8515,179.6805,0.8027,162.8473,146.6794,99.1154,4572.8421,1.7495,491.9678,1560.3931,0.3471,0.9434,585.9961,24709.9603,101324.9488,339.292,226.8208,20.707,6.1898,10.463,19.4721,5042.9398,61.6543,3214.9442,4012.262,9.0389,45.158,51.351,17.5213,1977.8487,22.2428,4.7888,72.5349,20.707,1821.7677,41.7486,11.7655,152.9169,1.8968,0.4353,1.1321,4.1437,4.6339,63.0083,318.4494,4.2693,9125.665,4.1209,4.9791,117.2139,92.4002,1642.781,4.2455,9.6705,16.6207,506.6122,10.9333,1.4609,0.8515,25.7274,25726.3576,648.3881,41.6061,5227.6243,24.5,14606.911,20.707,37.2911,12.0348,3.9702,3.391,2.6649,43.6991,7.7153,1.7495,33.0478,3059.9271,47.1821,4147.8669,1.1321,47.6057,14602.5435,100.5872,29432.1792,136.5895,3.1266,655.957,3.0567,2.0265,0.8378,655.957,119.332,277.6079,20.6949,31.4567,30.3987
2025-05-07 00:00:01,1746576001,1,4.1645,80.5278,98.3294,441.087,2.0298,1057.9653,1365.1192,1.7488,2.0298,1.9294,1.9558,2.268,137.9097,1.9558,0.4264,3344.8995,1.134,1.4616,7.878,6.4586,1.134,95.6213,15.4713,3.5123,2.268,1.5629,3273.7264,0.9358,1067.3892,8.1741,4896.7061,575.0893,27.2155,110.265,24.953,201.5321,7.4616,66.8119,150.6134,57.4091,17.0097,149.9643,2.5658,0.8492,7.4608,0.8492,3.1078,0.8492,15.3447,0.8492,82.4493,9870.5907,8.7547,236.8703,8.7901,29.5014,7.5345,147.9808,404.4954,18631.796,4.0882,0.8492,95.6211,1482.9701,48112.0945,146.7419,0.8492,179.0365,0.804,162.1805,146.7979,98.9386,4565.9868,1.7495,491.9678,1567.6637,0.3477,0.945,583.4712,24773.8321,101491.2116,340.0515,227.4051,20.6664,6.2004,10.4608,19.5062,5035.0802,61.6747,3225.6937,4025.9195,9.0525,45.102,51.3479,17.5642,1976.3623,22.3198,4.7954,72.4799,20.6664,1818.4006,41.8312,11.6695,152.9941,1.8901,0.436,1.134,4.1559,4.6414,62.9549,319.2175,4.2767,9143.011,4.1277,5.0797,117.2105,92.2098,1640.8645,4.2524,9.6293,16.6657,505.8528,10.8719,1.4616,0.8492,25.7705,25768.8811,647.416,41.5438,5226.6068,24.5,14643.0639,20.6664,37.0286,12.0122,3.9628,3.3943,2.6775,43.8511,7.7462,1.7495,33.9922,3062.4209,46.9473,4147.6634,1.1341,47.6846,14590.1291,103.4528,29480.7474,137.2159,3.0688,655.957,3.0617,2.0298,0.8359,655.957,119.332,278.2212,20.668,31.1173,30.3671
2025-05-08 00:00:02,1746662402,1,4.1603,80.4731,98.0377,442.5867,2.0278,1064.9779,1306.7239,1.7565,2.0278,1.932,1.9558,2.2657,137.6777,1.9558,0.4259,3354.3847,1.1328,1.4647,7.8677,6.49,1.1328,96.0671,15.4734,3.5013,2.2657,1.565,3280.7547,0.9326,1067.2079,8.1888,4897.3294,574.9042,27.188,110.265,24.9189,201.3284,7.4619,66.8483,150.5988,57.4642,16.9925,151.7193,2.5631,0.8505,7.4604,0.8506,3.118,0.8505,15.2342,0.8505,82.5809,9884.2231,8.7442,237.3788,8.7954,29.5186,7.5345,148.2985,404.1931,18775.3017,4.0637,0.8505,96.0793,1486.1538,48272.0926,146.3425,0.8505,180.4599,0.8032,162.6588,146.8034,99.3034,4516.3636,1.7566,491.9678,1580.358,0.348,0.944,584.897,24736.2251,101388.6343,339.675,227.2009,20.6648,6.1958,10.4639,19.516,5032.6672,61.6823,3214.1838,4053.4922,9.062,45.2224,51.4525,17.5571,1979.0702,22.2241,4.8043,72.594,20.6648,1824.2165,41.8148,11.6958,153.7074,1.9009,0.4356,1.1328,4.148,4.6904,62.8748,318.6124,4.272,9138.7628,4.1235,5.0982,117.222,91.6792,1643.9333,4.2481,9.6126,16.6437,507.6788,10.9182,1.4648,0.8505,25.8055,25803.6958,648.806,41.6479,5230.9329,24.5,14633.6759,20.6648,37.1548,11.8366,3.9781,3.3941,2.666,43.8014,7.7226,1.7566,34.402,3065.9543,47.0647,4152.4776,1.1329,47.5826,14625.1718,104.4548,29380.2402,136.41,2.9989,655.957,3.0587,2.0278,0.8364,655.957,119.332,277.7622,20.6521,30.5531,30.469
